complaint,department
"Dangerous speed breaker without white zebra stripes riders getting hurt right in front of Co-operative Bank, please take action immediately.",Roads
"Stagnant green slime water pooled in empty construction basement close to fire station, acting as massive breeding nursery for vector-borne disease mosquitoes.",Public Health
"In Netaji Nagar Ward 92, open slaughter of animals in street blood running on road very unhygienic for past one week. Very difficult situation.",Public Health
Please resolve issue where there is a deep ruts formed by overloaded trucks on hot asphalt near auto rickshaw stand. This is making bike handling extremely unstable. Kindly take remedial action.,Roads
"At ward 111, drain is overflowing sewage water coming into our house compound. Kindly resolve.",Drainage
Terrible smell from open drain and stagnant water causing vomiting every evening at the entry of Balaji Layout. High danger.,Public Health
Garbage truck leaking dirty black liquid on entire road smelling awful since morning at Nehru Roundabout. High danger.,Sanitation
"Sir, garbage truck leaking dirty black liquid on entire road smelling awful between Vinayaka Nagar and Bypass Intersection. Nobody is responding.",Sanitation
to mny mosquitos dangue spreding plz du fogin in Vikas Enclave ward 51,Public Health
urgent garbag not colected since many days big sml Indira Gandhi Colony near pedestrian subway,Sanitation
"Sir, stray dogs are biting people on street please catch them urgently behind Fire Brigade Station. Nobody is responding.",Public Health
Commercial delivery vans double parking along narrow market street at Ward 32.,Traffic
"Sluggish sewer flow causing toxic methane and hydrogen sulfide gas buildup near Ramakrishna Puram main gate, foul sewer gas emanating through residential bathroom sinks.",Drainage
Stray dogs are biting people on street please catch them urgently every evening at Old Post Office Junction. High danger.,Public Health
"Due to door-to-door waste collection vehicle has not visited the ward for two weeks behind Maternity Clinic, it is residents forced to pile up household garbage on street corners.",Sanitation
"Sir, broken manhole slab car wheel got stuck please replace cover at the entry of Vinayaka Nagar. Nobody is responding.",Drainage
"In Teachers Colony Ward 159, drinking water is coming dirty and smelling like drainage for past one week. Very difficult situation.",Water
Kindly note that there is a sewer cleaning suction jetting machine needed for persistent pipeline blockage at Station T-Junction. This is manual rodding failed to clear compacted silt. Kindly take remedial action.,Drainage
publc pak benchs brokn by vandls no sit for seniors ward 171 since 2 days kindly fix,Municipal Services
"Water pressure is very low not even filling one bucket in 1 hour at Ward 143, please take action immediately.",Water
"In Teachers Colony Ward 89, sweeper is sweeping dust into open drain instead of lifting it every evening. Very difficult situation.",Sanitation
"Dirty open drain next to school children getting sick frequently opposite SBI ATM, please take action immediately.",Public Health
Public library roof is leaking rainwater books getting ruined please repair at Clock Tower Square from last 3 days.,Municipal Services
"Zero municipal drinking water supply for the past five consecutive days opposite crematorium ground, residents forced to purchase expensive private tankers.",Water
"Autos and taxis blocking the entire left turn free lane close to bus stop, please take action immediately.",Traffic
"Due to waterlogging on subway underpass reaching 4 feet depth due to pump failure in Rajaji Sector 3, it is subway closed and traffic diverted for miles.",Drainage
"In Santosh Nagar Ward 42, recently road was laid now fully broken and stones coming out from last 3 days. Very difficult situation.",Roads
Water supply timing is very irregular please give water on fixed schedule at Old Post Office Junction every evening.,Water
Drain is overflowing sewage water coming into our house compound from last 3 days right in front of Co-operative Bank. High danger.,Drainage
The neighborhood community trash bin is overflowing onto the sidewalk,Sanitation
"In Mahalakshmi Layout Ward 53, plz repair this road immediately bike riders falling daily for past one week. Very difficult situation.",Roads
"In Vikas Enclave Ward 88, drainage smell is terrible in our lane please clean the gutter since two weeks. Very difficult situation.",Drainage
"Municipal swimming pool filtration plant broken with green algae bloom near Tilak Road Extension main gate, water turned toxic and facility shut down for months.",Municipal Services
"Water pressure is very low not even filling one bucket in 1 hour at Gandhi Circle, please take action immediately.",Water
Voltage is very low fan is not running fridge making weird sound since two weeks near slaughterhouse cross. High danger.,Electricity
Colony borewell motor spoiled please send mechanic urgently after last rain outside City Library. High danger.,Water
Road is fully damaged and full of big potholes from last 3 days on Main Road. High danger.,Roads
"Sir, municipal ward office staff not available during public complaint hours at Ward 81. Nobody is responding.",Municipal Services
urgent publk toilt is verry dirti no watr smeling awful Vivekananda Colony near slaughterhouse cross,Public Health
"Due to slippery oil and gravel mix spread across asphalt surface along College Road, it is frequent skidding accidents reported.",Roads
"Sir, road has caved in middle of road heavy vehicles getting stuck outside City Library. Nobody is responding.",Roads
"Pothole depth is more than 1 foot any time major accident can happen on Link Road, Ward 49 after last rain.",Roads
"Hotel throwing rotten food and chicken waste attracting flies and rats since past 10 days on 100 Feet Intermediate Road, Ward 2. High danger.",Public Health
"Due to community notice board glass shattered and public civic circulars torn along Main Road, it is citizens unable to view official municipal welfare announcements.",Municipal Services
plz help ward ofis offical not comming for publik complant on 6th Cross Avenue,Municipal Services
"Right in front of fire brigade station, sanitation auto not coming to our street trash piled up in homes. Kindly resolve.",Sanitation
"Overloaded distribution transformer smoking and buzzing loudly close to fire station, imminent failure risk requiring emergency capacity upgrade.",Electricity
"Electrical meter box on public utility pole burst into flames close to police station, fire hazard threatening adjacent residential power connections.",Electricity
